tau_esc	tau_des	method	step	total_G_prompts	savings	contrast_intent	fires_esc	fires_des
0.5	0.7	aero	16	92	0.28125	0.0	0	9
0.5	0.7	aero	17	92	0.28125	0.0	0	9
0.5	0.7	aero	18	88	0.3125	0.0	0	10
0.5	0.7	aero	19	88	0.3125	0.0	0	10
0.5	0.7	aero	20	88	0.3125	0.0	0	10
0.5	0.7	aero	21	76	0.40625	0.0	0	13
0.5	0.7	aero	22	84	0.34375	0.0	0	11
0.5	0.7	aero	23	76	0.40625	0.0	0	13
0.5	0.7	aero	24	76	0.40625	0.0	0	13
0.5	0.7	aero	25	84	0.34375	0.0	0	11
0.5	0.7	aero	26	72	0.4375	0.0	0	14
0.5	0.7	aero	27	68	0.46875	0.0	0	15
0.5	0.7	aero	28	76	0.40625	0.0	0	13
0.5	0.7	aero	29	72	0.4375	0.0	0	14
0.5	0.7	aero	30	76	0.40625	0.0	0	13
0.5	0.7	aero	31	76	0.40625	0.0	0	13
0.5	0.7	aero	32	80	0.375	0.0	0	12
0.5	0.7	aero	33	88	0.3125	0.0	0	10
0.5	0.7	aero	34	72	0.4375	0.0	0	14
0.5	0.7	aero	35	76	0.40625	0.0	0	13
0.5	0.7	aero	36	76	0.40625	0.0	0	13
0.5	0.7	aero	37	84	0.34375	0.0	0	11
0.5	0.7	aero	38	84	0.34375	0.0	0	11
0.5	0.7	aero	39	88	0.3125	0.0	0	10
0.5	0.7	areal	0	84	0.34375	0.0	0	11
0.5	0.7	areal	1	96	0.25	0.0	0	8
0.5	0.7	areal	2	84	0.34375	0.0	0	11
0.5	0.7	areal	3	84	0.34375	0.0	0	11
0.5	0.7	areal	4	96	0.25	0.0	0	8
0.5	0.7	areal	5	80	0.375	0.0	0	12
0.5	0.7	areal	6	84	0.34375	0.0	0	11
0.5	0.7	areal	7	72	0.4375	0.0	0	14
0.5	0.7	areal	8	88	0.3125	0.0	0	10
0.5	0.7	areal	9	84	0.34375	0.0	0	11
0.5	0.7	areal	10	84	0.34375	0.0	0	11
0.5	0.7	areal	11	96	0.25	0.0	0	8
0.5	0.7	areal	12	76	0.40625	0.0	0	13
0.5	0.7	areal	13	92	0.28125	0.0	0	9
0.5	0.7	areal	14	84	0.34375	0.0	0	11
0.5	0.7	areal	15	84	0.34375	0.0	0	11
0.5	0.7	areal	16	88	0.3125	0.0	0	10
0.5	0.7	areal	17	96	0.25	0.0	0	8
0.5	0.7	areal	18	92	0.28125	0.0	0	9
0.5	0.7	areal	19	80	0.375	0.0	0	12
0.5	0.7	areal	20	84	0.34375	0.0	0	11
0.5	0.7	areal	21	84	0.34375	0.0	0	11
0.5	0.7	areal	22	76	0.40625	0.0	0	13
0.5	0.7	areal	23	76	0.40625	0.0	0	13
0.5	0.7	areal	24	72	0.4375	0.0	0	14
0.5	0.7	areal	25	88	0.3125	0.0	0	10
0.5	0.7	areal	26	72	0.4375	0.0	0	14
0.5	0.7	areal	27	68	0.46875	0.0	0	15
0.5	0.7	areal	28	72	0.4375	0.0	0	14
0.5	0.7	areal	29	76	0.40625	0.0	0	13
0.5	0.7	areal	30	80	0.375	0.0	0	12
0.5	0.7	areal	31	92	0.28125	0.0	0	9
0.5	0.7	areal	32	80	0.375	0.0	0	12
0.5	0.7	areal	33	88	0.3125	0.0	0	10
0.5	0.7	areal	34	84	0.34375	0.0	0	11
0.5	0.7	areal	35	76	0.40625	0.0	0	13
0.5	0.7	areal	36	80	0.375	0.0	0	12
0.5	0.7	areal	37	84	0.34375	0.0	0	11
0.5	0.7	areal	38	76	0.40625	0.0	0	13
0.5	0.7	areal	39	80	0.375	0.0	0	12
0.5	0.7	gift	0	80	0.375	0.0	0	12
0.5	0.7	gift	1	92	0.28125	0.0	0	9
0.5	0.7	gift	2	84	0.34375	0.0	0	11
0.5	0.7	gift	3	92	0.28125	0.0	0	9
0.5	0.7	gift	4	84	0.34375	0.0	0	11
0.5	0.7	gift	5	88	0.3125	0.0	0	10
0.5	0.7	gift	6	80	0.375	0.0	0	12
0.5	0.7	gift	7	84	0.34375	0.0	0	11
0.5	0.7	gift	8	88	0.3125	0.0	0	10
0.5	0.7	gift	9	88	0.3125	0.0	0	10
0.5	0.7	gift	10	80	0.375	0.0	0	12
0.5	0.7	gift	11	88	0.3125	0.0	0	10
0.5	0.7	gift	12	80	0.375	0.0	0	12
0.5	0.7	gift	13	92	0.28125	0.0	0	9
0.5	0.7	gift	14	76	0.40625	0.0	0	13
0.5	0.7	gift	15	88	0.3125	0.0	0	10
0.5	0.7	gift	16	88	0.3125	0.0	0	10
0.5	0.7	gift	17	80	0.375	0.0	0	12
0.5	0.7	gift	18	88	0.3125	0.0	0	10
0.5	0.7	gift	19	80	0.375	0.0	0	12
0.5	0.7	gift	20	84	0.34375	0.0	0	11
0.5	0.7	gift	21	80	0.375	0.0	0	12
0.5	0.7	gift	22	72	0.4375	0.0	0	14
0.5	0.7	gift	23	72	0.4375	0.0	0	14
0.5	0.7	gift	24	72	0.4375	0.0	0	14
0.5	0.7	gift	25	80	0.375	0.0	0	12
0.5	0.7	gift	26	76	0.40625	0.0	0	13
0.5	0.7	gift	27	68	0.46875	0.0	0	15
0.5	0.7	gift	28	72	0.4375	0.0	0	14
0.5	0.7	gift	29	68	0.46875	0.0	0	15
0.5	0.7	gift	30	72	0.4375	0.0	0	14
0.5	0.7	gift	31	68	0.46875	0.0	0	15
0.5	0.7	gift	32	80	0.375	0.0	0	12
0.5	0.7	gift	33	68	0.46875	0.0	0	15
0.5	0.7	gift	34	64	0.5	0.0	0	16
0.5	0.7	gift	35	68	0.46875	0.0	0	15
0.5	0.7	gift	36	68	0.46875	0.0	0	15
0.5	0.7	gift	37	72	0.4375	0.0	0	14
0.5	0.7	gift	38	68	0.46875	0.0	0	15
0.5	0.7	gift	39	76	0.40625	0.0	0	13
0.5	0.7	grpo	0	84	0.34375	0.0	0	11
0.5	0.7	grpo	1	96	0.25	0.0	0	8
0.5	0.7	grpo	2	84	0.34375	0.0	0	11
0.5	0.7	grpo	3	80	0.375	0.0	0	12
0.5	0.7	grpo	4	84	0.34375	0.0	0	11
0.5	0.7	grpo	5	84	0.34375	0.0	0	11
0.5	0.7	grpo	6	76	0.40625	0.0	0	13
0.5	0.7	grpo	7	84	0.34375	0.0	0	11
0.5	0.7	grpo	8	92	0.28125	0.0	0	9
0.5	0.7	grpo	9	84	0.34375	0.0	0	11
0.5	0.7	grpo	10	84	0.34375	0.0	0	11
0.5	0.7	grpo	11	84	0.34375	0.0	0	11
0.5	0.7	grpo	12	76	0.40625	0.0	0	13
0.5	0.7	grpo	13	92	0.28125	0.0	0	9
0.5	0.7	grpo	14	80	0.375	0.0	0	12
0.5	0.7	grpo	15	80	0.375	0.0	0	12
0.5	0.7	grpo	16	88	0.3125	0.0	0	10
0.5	0.7	grpo	17	96	0.25	0.0	0	8
0.5	0.7	grpo	18	92	0.28125	0.0	0	9
0.5	0.7	grpo	19	88	0.3125	0.0	0	10
0.5	0.7	grpo	20	88	0.3125	0.0	0	10
0.5	0.7	grpo	21	80	0.375	0.0	0	12
0.5	0.7	grpo	22	80	0.375	0.0	0	12
0.5	0.7	grpo	23	72	0.4375	0.0	0	14
0.5	0.7	grpo	24	76	0.40625	0.0	0	13
0.5	0.7	grpo	25	92	0.28125	0.0	0	9
0.5	0.7	grpo	26	76	0.40625	0.0	0	13
0.5	0.7	grpo	27	68	0.46875	0.0	0	15
0.5	0.7	grpo	28	76	0.40625	0.0	0	13
0.5	0.7	grpo	29	76	0.40625	0.0	0	13
0.5	0.7	grpo	30	76	0.40625	0.0	0	13
0.5	0.7	grpo	31	80	0.375	0.0	0	12
0.5	0.7	grpo	32	84	0.34375	0.0	0	11
0.5	0.7	grpo	33	84	0.34375	0.0	0	11
0.5	0.7	grpo	34	72	0.4375	0.0	0	14
0.5	0.7	grpo	35	68	0.46875	0.0	0	15
0.5	0.7	grpo	36	76	0.40625	0.0	0	13
0.5	0.7	grpo	37	80	0.375	0.0	0	12
0.5	0.7	grpo	38	84	0.34375	0.0	0	11
0.5	0.7	grpo	39	80	0.375	0.0	0	12
0.5	0.75	aero	0	84	0.34375	0.0	0	11
0.5	0.75	aero	1	84	0.34375	0.0	0	11
0.5	0.75	aero	2	76	0.40625	0.0	0	13
0.5	0.75	aero	3	84	0.34375	0.0	0	11
0.5	0.75	aero	4	80	0.375	0.0	0	12
0.5	0.75	aero	5	92	0.28125	0.0	0	9
0.5	0.75	aero	6	80	0.375	0.0	0	12
0.5	0.75	aero	7	88	0.3125	0.0	0	10
0.5	0.75	aero	8	84	0.34375	0.0	0	11
0.5	0.75	aero	9	88	0.3125	0.0	0	10
0.5	0.75	aero	10	80	0.375	0.0	0	12
0.5	0.75	aero	11	92	0.28125	0.0	0	9
0.5	0.75	aero	12	84	0.34375	0.0	0	11
0.5	0.75	aero	13	92	0.28125	0.0	0	9
0.5	0.75	aero	14	80	0.375	0.0	0	12
0.5	0.75	aero	15	76	0.40625	0.0	0	13
0.5	0.75	aero	16	92	0.28125	0.0	0	9
0.5	0.75	aero	17	92	0.28125	0.0	0	9
0.5	0.75	aero	18	88	0.3125	0.0	0	10
0.5	0.75	aero	19	88	0.3125	0.0	0	10
0.5	0.75	aero	20	88	0.3125	0.0	0	10
0.5	0.75	aero	21	76	0.40625	0.0	0	13
0.5	0.75	aero	22	84	0.34375	0.0	0	11
0.5	0.75	aero	23	76	0.40625	0.0	0	13
0.5	0.75	aero	24	76	0.40625	0.0	0	13
0.5	0.75	aero	25	84	0.34375	0.0	0	11
0.5	0.75	aero	26	72	0.4375	0.0	0	14
0.5	0.75	aero	27	68	0.46875	0.0	0	15
0.5	0.75	aero	28	76	0.40625	0.0	0	13
0.5	0.75	aero	29	72	0.4375	0.0	0	14
0.5	0.75	aero	30	76	0.40625	0.0	0	13
0.5	0.75	aero	31	76	0.40625	0.0	0	13
0.5	0.75	aero	32	80	0.375	0.0	0	12
0.5	0.75	aero	33	88	0.3125	0.0	0	10
0.5	0.75	aero	34	72	0.4375	0.0	0	14
0.5	0.75	aero	35	76	0.40625	0.0	0	13
0.5	0.75	aero	36	76	0.40625	0.0	0	13
0.5	0.75	aero	37	84	0.34375	0.0	0	11
0.5	0.75	aero	38	84	0.34375	0.0	0	11
0.5	0.75	aero	39	88	0.3125	0.0	0	10
0.5	0.75	areal	0	84	0.34375	0.0	0	11
0.5	0.75	areal	1	96	0.25	0.0	0	8
0.5	0.75	areal	2	84	0.34375	0.0	0	11
0.5	0.75	areal	3	84	0.34375	0.0	0	11
0.5	0.75	areal	4	96	0.25	0.0	0	8
0.5	0.75	areal	5	80	0.375	0.0	0	12
0.5	0.75	areal	6	84	0.34375	0.0	0	11
0.5	0.75	areal	7	72	0.4375	0.0	0	14
0.5	0.75	areal	8	88	0.3125	0.0	0	10
0.5	0.75	areal	9	84	0.34375	0.0	0	11
0.5	0.75	areal	10	84	0.34375	0.0	0	11
0.5	0.75	areal	11	96	0.25	0.0	0	8
0.5	0.75	areal	12	76	0.40625	0.0	0	13
0.5	0.75	areal	13	92	0.28125	0.0	0	9
0.5	0.75	areal	14	84	0.34375	0.0	0	11
0.5	0.75	areal	15	84	0.34375	0.0	0	11
0.5	0.75	areal	16	88	0.3125	0.0	0	10
0.5	0.75	areal	17	96	0.25	0.0	0	8
0.5	0.75	areal	18	92	0.28125	0.0	0	9
0.5	0.75	areal	19	80	0.375	0.0	0	12
0.5	0.75	areal	20	84	0.34375	0.0	0	11
0.5	0.75	areal	21	84	0.34375	0.0	0	11
0.5	0.75	areal	22	76	0.40625	0.0	0	13
0.5	0.75	areal	23	76	0.40625	0.0	0	13
0.5	0.75	areal	24	72	0.4375	0.0	0	14
0.5	0.75	areal	25	88	0.3125	0.0	0	10
0.5	0.75	areal	26	72	0.4375	0.0	0	14
0.5	0.75	areal	27	68	0.46875	0.0	0	15
0.5	0.75	areal	28	72	0.4375	0.0	0	14
0.5	0.75	areal	29	76	0.40625	0.0	0	13
0.5	0.75	areal	30	80	0.375	0.0	0	12
0.5	0.75	areal	31	92	0.28125	0.0	0	9
0.5	0.75	areal	32	80	0.375	0.0	0	12
0.5	0.75	areal	33	88	0.3125	0.0	0	10
0.5	0.75	areal	34	84	0.34375	0.0	0	11
0.5	0.75	areal	35	76	0.40625	0.0	0	13
0.5	0.75	areal	36	80	0.375	0.0	0	12
0.5	0.75	areal	37	84	0.34375	0.0	0	11
0.5	0.75	areal	38	76	0.40625	0.0	0	13
0.5	0.75	areal	39	80	0.375	0.0	0	12
0.5	0.75	gift	0	80	0.375	0.0	0	12
0.5	0.75	gift	1	92	0.28125	0.0	0	9
0.5	0.75	gift	2	84	0.34375	0.0	0	11
0.5	0.75	gift	3	92	0.28125	0.0	0	9
0.5	0.75	gift	4	84	0.34375	0.0	0	11
0.5	0.75	gift	5	88	0.3125	0.0	0	10
0.5	0.75	gift	6	80	0.375	0.0	0	12
0.5	0.75	gift	7	84	0.34375	0.0	0	11
0.5	0.75	gift	8	88	0.3125	0.0	0	10
0.5	0.75	gift	9	88	0.3125	0.0	0	10
0.5	0.75	gift	10	80	0.375	0.0	0	12
0.5	0.75	gift	11	88	0.3125	0.0	0	10
0.5	0.75	gift	12	80	0.375	0.0	0	12
0.5	0.75	gift	13	92	0.28125	0.0	0	9
0.5	0.75	gift	14	76	0.40625	0.0	0	13
0.5	0.75	gift	15	88	0.3125	0.0	0	10
0.5	0.75	gift	16	88	0.3125	0.0	0	10
0.5	0.75	gift	17	80	0.375	0.0	0	12
0.5	0.75	gift	18	88	0.3125	0.0	0	10
0.5	0.75	gift	19	80	0.375	0.0	0	12
0.5	0.75	gift	20	84	0.34375	0.0	0	11
0.5	0.75	gift	21	80	0.375	0.0	0	12
0.5	0.75	gift	22	72	0.4375	0.0	0	14
0.5	0.75	gift	23	72	0.4375	0.0	0	14
0.5	0.75	gift	24	72	0.4375	0.0	0	14
0.5	0.75	gift	25	80	0.375	0.0	0	12
0.5	0.75	gift	26	76	0.40625	0.0	0	13
0.5	0.75	gift	27	68	0.46875	0.0	0	15
0.5	0.75	gift	28	72	0.4375	0.0	0	14
0.5	0.75	gift	29	68	0.46875	0.0	0	15
0.5	0.75	gift	30	72	0.4375	0.0	0	14
0.5	0.75	gift	31	68	0.46875	0.0	0	15
0.5	0.75	gift	32	80	0.375	0.0	0	12
0.5	0.75	gift	33	68	0.46875	0.0	0	15
0.5	0.75	gift	34	64	0.5	0.0	0	16
0.5	0.75	gift	35	68	0.46875	0.0	0	15
0.5	0.75	gift	36	68	0.46875	0.0	0	15
0.5	0.75	gift	37	72	0.4375	0.0	0	14
0.5	0.75	gift	38	68	0.46875	0.0	0	15
0.5	0.75	gift	39	76	0.40625	0.0	0	13
0.5	0.75	grpo	0	84	0.34375	0.0	0	11
0.5	0.75	grpo	1	96	0.25	0.0	0	8
0.5	0.75	grpo	2	84	0.34375	0.0	0	11
0.5	0.75	grpo	3	80	0.375	0.0	0	12
0.5	0.75	grpo	4	84	0.34375	0.0	0	11
0.5	0.75	grpo	5	84	0.34375	0.0	0	11
0.5	0.75	grpo	6	76	0.40625	0.0	0	13
0.5	0.75	grpo	7	84	0.34375	0.0	0	11
0.5	0.75	grpo	8	92	0.28125	0.0	0	9
0.5	0.75	grpo	9	84	0.34375	0.0	0	11
0.5	0.75	grpo	10	84	0.34375	0.0	0	11
0.5	0.75	grpo	11	84	0.34375	0.0	0	11
0.5	0.75	grpo	12	76	0.40625	0.0	0	13
0.5	0.75	grpo	13	92	0.28125	0.0	0	9
0.5	0.75	grpo	14	80	0.375	0.0	0	12
0.5	0.75	grpo	15	80	0.375	0.0	0	12
0.5	0.75	grpo	16	88	0.3125	0.0	0	10
0.5	0.75	grpo	17	96	0.25	0.0	0	8
0.5	0.75	grpo	18	92	0.28125	0.0	0	9
0.5	0.75	grpo	19	88	0.3125	0.0	0	10
0.5	0.75	grpo	20	88	0.3125	0.0	0	10
0.5	0.75	grpo	21	80	0.375	0.0	0	12
0.5	0.75	grpo	22	80	0.375	0.0	0	12
0.5	0.75	grpo	23	72	0.4375	0.0	0	14
0.5	0.75	grpo	24	76	0.40625	0.0	0	13
0.5	0.75	grpo	25	92	0.28125	0.0	0	9
0.5	0.75	grpo	26	76	0.40625	0.0	0	13
0.5	0.75	grpo	27	68	0.46875	0.0	0	15
0.5	0.75	grpo	28	76	0.40625	0.0	0	13
0.5	0.75	grpo	29	76	0.40625	0.0	0	13
0.5	0.75	grpo	30	76	0.40625	0.0	0	13
0.5	0.75	grpo	31	80	0.375	0.0	0	12
0.5	0.75	grpo	32	84	0.34375	0.0	0	11
0.5	0.75	grpo	33	84	0.34375	0.0	0	11
0.5	0.75	grpo	34	72	0.4375	0.0	0	14
0.5	0.75	grpo	35	68	0.46875	0.0	0	15
0.5	0.75	grpo	36	76	0.40625	0.0	0	13
0.5	0.75	grpo	37	80	0.375	0.0	0	12
0.5	0.75	grpo	38	84	0.34375	0.0	0	11
0.5	0.75	grpo	39	80	0.375	0.0	0	12
0.55	0.6	aero	0	84	0.34375	0.0	0	11
0.55	0.6	aero	1	84	0.34375	0.0	0	11
0.55	0.6	aero	2	76	0.40625	0.0	0	13
0.55	0.6	aero	3	84	0.34375	0.0	0	11
0.55	0.6	aero	4	80	0.375	0.0	0	12
0.55	0.6	aero	5	92	0.28125	0.0	0	9
0.55	0.6	aero	6	80	0.375	0.0	0	12
0.55	0.6	aero	7	88	0.3125	0.0	0	10
0.55	0.6	aero	8	84	0.34375	0.0	0	11
0.55	0.6	aero	9	88	0.3125	0.0	0	10
0.55	0.6	aero	10	80	0.375	0.0	0	12
0.55	0.6	aero	11	92	0.28125	0.0	0	9
0.55	0.6	aero	12	84	0.34375	0.0	0	11
0.55	0.6	aero	13	92	0.28125	0.0	0	9
0.55	0.6	aero	14	80	0.375	0.0	0	12
0.55	0.6	aero	15	76	0.40625	0.0	0	13
0.55	0.6	aero	16	92	0.28125	0.0	0	9
0.55	0.6	aero	17	92	0.28125	0.0	0	9
0.55	0.6	aero	18	88	0.3125	0.0	0	10
0.55	0.6	aero	19	88	0.3125	0.0	0	10
0.55	0.6	aero	20	88	0.3125	0.0	0	10
0.55	0.6	aero	21	76	0.40625	0.0	0	13
0.55	0.6	aero	22	84	0.34375	0.0	0	11
0.55	0.6	aero	23	76	0.40625	0.0	0	13
0.55	0.6	aero	24	76	0.40625	0.0	0	13
0.55	0.6	aero	25	84	0.34375	0.0	0	11
0.55	0.6	aero	26	72	0.4375	0.0	0	14
0.55	0.6	aero	27	68	0.46875	0.0	0	15
0.55	0.6	aero	28	76	0.40625	0.0	0	13
0.55	0.6	aero	29	72	0.4375	0.0	0	14
0.55	0.6	aero	30	76	0.40625	0.0	0	13
0.55	0.6	aero	31	76	0.40625	0.0	0	13
0.55	0.6	aero	32	80	0.375	0.0	0	12
0.55	0.6	aero	33	88	0.3125	0.0	0	10
0.55	0.6	aero	34	72	0.4375	0.0	0	14
0.55	0.6	aero	35	76	0.40625	0.0	0	13
0.55	0.6	aero	36	76	0.40625	0.0	0	13
0.55	0.6	aero	37	84	0.34375	0.0	0	11
0.55	0.6	aero	38	84	0.34375	0.0	0	11
0.55	0.6	aero	39	88	0.3125	0.0	0	10
0.55	0.6	areal	0	84	0.34375	0.0	0	11
0.55	0.6	areal	1	96	0.25	0.0	0	8
0.55	0.6	areal	2	84	0.34375	0.0	0	11
0.55	0.6	areal	3	84	0.34375	0.0	0	11
0.55	0.6	areal	4	96	0.25	0.0	0	8
0.55	0.6	areal	5	80	0.375	0.0	0	12
0.55	0.6	areal	6	84	0.34375	0.0	0	11
0.55	0.6	areal	7	72	0.4375	0.0	0	14
0.55	0.6	areal	8	88	0.3125	0.0	0	10
0.55	0.6	areal	9	84	0.34375	0.0	0	11
0.55	0.6	areal	10	84	0.34375	0.0	0	11
0.55	0.6	areal	11	96	0.25	0.0	0	8
0.55	0.6	areal	12	76	0.40625	0.0	0	13
0.55	0.6	areal	13	92	0.28125	0.0	0	9
0.55	0.6	areal	14	84	0.34375	0.0	0	11
0.55	0.6	areal	15	84	0.34375	0.0	0	11
0.55	0.6	areal	16	88	0.3125	0.0	0	10
0.55	0.6	areal	17	96	0.25	0.0	0	8
0.55	0.6	areal	18	92	0.28125	0.0	0	9
0.55	0.6	areal	19	80	0.375	0.0	0	12
0.55	0.6	areal	20	84	0.34375	0.0	0	11
0.55	0.6	areal	21	84	0.34375	0.0	0	11
0.55	0.6	areal	22	76	0.40625	0.0	0	13
0.55	0.6	areal	23	76	0.40625	0.0	0	13
0.55	0.6	areal	24	72	0.4375	0.0	0	14
0.55	0.6	areal	25	88	0.3125	0.0	0	10
0.55	0.6	areal	26	72	0.4375	0.0	0	14
0.55	0.6	areal	27	68	0.46875	0.0	0	15
0.55	0.6	areal	28	72	0.4375	0.0	0	14
0.55	0.6	areal	29	76	0.40625	0.0	0	13
0.55	0.6	areal	30	80	0.375	0.0	0	12
0.55	0.6	areal	31	92	0.28125	0.0	0	9
0.55	0.6	areal	32	80	0.375	0.0	0	12
0.55	0.6	areal	33	88	0.3125	0.0	0	10
0.55	0.6	areal	34	84	0.34375	0.0	0	11
0.55	0.6	areal	35	76	0.40625	0.0	0	13
0.55	0.6	areal	36	80	0.375	0.0	0	12
0.55	0.6	areal	37	84	0.34375	0.0	0	11
0.55	0.6	areal	38	76	0.40625	0.0	0	13
0.55	0.6	areal	39	80	0.375	0.0	0	12
0.55	0.6	gift	0	80	0.375	0.0	0	12
0.55	0.6	gift	1	92	0.28125	0.0	0	9
0.55	0.6	gift	2	84	0.34375	0.0	0	11
0.55	0.6	gift	3	92	0.28125	0.0	0	9
0.55	0.6	gift	4	84	0.34375	0.0	0	11
0.55	0.6	gift	5	88	0.3125	0.0	0	10
0.55	0.6	gift	6	80	0.375	0.0	0	12
0.55	0.6	gift	7	84	0.34375	0.0	0	11
0.55	0.6	gift	8	88	0.3125	0.0	0	10
0.55	0.6	gift	9	88	0.3125	0.0	0	10
0.55	0.6	gift	10	80	0.375	0.0	0	12
0.55	0.6	gift	11	88	0.3125	0.0	0	10
0.55	0.6	gift	12	80	0.375	0.0	0	12
0.55	0.6	gift	13	92	0.28125	0.0	0	9
0.55	0.6	gift	14	76	0.40625	0.0	0	13
0.55	0.6	gift	15	88	0.3125	0.0	0	10
0.55	0.6	gift	16	88	0.3125	0.0	0	10
0.55	0.6	gift	17	80	0.375	0.0	0	12
0.55	0.6	gift	18	88	0.3125	0.0	0	10
0.55	0.6	gift	19	80	0.375	0.0	0	12
0.55	0.6	gift	20	84	0.34375	0.0	0	11
0.55	0.6	gift	21	80	0.375	0.0	0	12
0.55	0.6	gift	22	72	0.4375	0.0	0	14
0.55	0.6	gift	23	72	0.4375	0.0	0	14
0.55	0.6	gift	24	72	0.4375	0.0	0	14
0.55	0.6	gift	25	80	0.375	0.0	0	12
0.55	0.6	gift	26	76	0.40625	0.0	0	13
0.55	0.6	gift	27	68	0.46875	0.0	0	15
0.55	0.6	gift	28	72	0.4375	0.0	0	14
0.55	0.6	gift	29	68	0.46875	0.0	0	15
0.55	0.6	gift	30	72	0.4375	0.0	0	14
0.55	0.6	gift	31	68	0.46875	0.0	0	15
0.55	0.6	gift	32	80	0.375	0.0	0	12
0.55	0.6	gift	33	68	0.46875	0.0	0	15
0.55	0.6	gift	34	64	0.5	0.0	0	16
0.55	0.6	gift	35	68	0.46875	0.0	0	15
0.55	0.6	gift	36	68	0.46875	0.0	0	15
0.55	0.6	gift	37	72	0.4375	0.0	0	14
0.55	0.6	gift	38	68	0.46875	0.0	0	15
0.55	0.6	gift	39	76	0.40625	0.0	0	13
0.55	0.6	grpo	0	84	0.34375	0.0	0	11
0.55	0.6	grpo	1	96	0.25	0.0	0	8
0.55	0.6	grpo	2	84	0.34375	0.0	0	11
0.55	0.6	grpo	3	80	0.375	0.0	0	12
0.55	0.6	grpo	4	84	0.34375	0.0	0	11
0.55	0.6	grpo	5	84	0.34375	0.0	0	11
0.55	0.6	grpo	6	76	0.40625	0.0	0	13
0.55	0.6	grpo	7	84	0.34375	0.0	0	11
0.55	0.6	grpo	8	92	0.28125	0.0	0	9
0.55	0.6	grpo	9	84	0.34375	0.0	0	11
0.55	0.6	grpo	10	84	0.34375	0.0	0	11
0.55	0.6	grpo	11	84	0.34375	0.0	0	11
0.55	0.6	grpo	12	76	0.40625	0.0	0	13
0.55	0.6	grpo	13	92	0.28125	0.0	0	9
0.55	0.6	grpo	14	80	0.375	0.0	0	12
0.55	0.6	grpo	15	80	0.375	0.0	0	12
0.55	0.6	grpo	16	88	0.3125	0.0	0	10
0.55	0.6	grpo	17	96	0.25	0.0	0	8
0.55	0.6	grpo	18	92	0.28125	0.0	0	9
0.55	0.6	grpo	19	88	0.3125	0.0	0	10
0.55	0.6	grpo	20	88	0.3125	0.0	0	10
0.55	0.6	grpo	21	80	0.375	0.0	0	12
0.55	0.6	grpo	22	80	0.375	0.0	0	12
0.55	0.6	grpo	23	72	0.4375	0.0	0	14
0.55	0.6	grpo	24	76	0.40625	0.0	0	13
0.55	0.6	grpo	25	92	0.28125	0.0	0	9
0.55	0.6	grpo	26	76	0.40625	0.0	0	13
0.55	0.6	grpo	27	68	0.46875	0.0	0	15
0.55	0.6	grpo	28	76	0.40625	0.0	0	13
0.55	0.6	grpo	29	76	0.40625	0.0	0	13
0.55	0.6	grpo	30	76	0.40625	0.0	0	13
0.55	0.6	grpo	31	80	0.375	0.0	0	12
0.55	0.6	grpo	32	84	0.34375	0.0	0	11
0.55	0.6	grpo	33	84	0.34375	0.0	0	11
0.55	0.6	grpo	34	72	0.4375	0.0	0	14
0.55	0.6	grpo	35	68	0.46875	0.0	0	15
0.55	0.6	grpo	36	76	0.40625	0.0	0	13
0.55	0.6	grpo	37	80	0.375	0.0	0	12
0.55	0.6	grpo	38	84	0.34375	0.0	0	11
0.55	0.6	grpo	39	80	0.375	0.0	0	12
0.55	0.65	aero	0	84	0.34375	0.0	0	11
0.55	0.65	aero	1	84	0.34375	0.0	0	11
0.55	0.65	aero	2	76	0.40625	0.0	0	13
0.55	0.65	aero	3	84	0.34375	0.0	0	11
0.55	0.65	aero	4	80	0.375	0.0	0	12
0.55	0.65	aero	5	92	0.28125	0.0	0	9
0.55	0.65	aero	6	80	0.375	0.0	0	12
0.55	0.65	aero	7	88	0.3125	0.0	0	10
0.55	0.65	aero	8	84	0.34375	0.0	0	11
0.55	0.65	aero	9	88	0.3125	0.0	0	10
0.55	0.65	aero	10	80	0.375	0.0	0	12
0.55	0.65	aero	11	92	0.28125	0.0	0	9
0.55	0.65	aero	12	84	0.34375	0.0	0	11
0.55	0.65	aero	13	92	0.28125	0.0	0	9
0.55	0.65	aero	14	80	0.375	0.0	0	12
0.55	0.65	aero	15	76	0.40625	0.0	0	13
0.55	0.65	aero	16	92	0.28125	0.0	0	9
0.55	0.65	aero	17	92	0.28125	0.0	0	9
0.55	0.65	aero	18	88	0.3125	0.0	0	10
0.55	0.65	aero	19	88	0.3125	0.0	0	10
0.55	0.65	aero	20	88	0.3125	0.0	0	10
0.55	0.65	aero	21	76	0.40625	0.0	0	13
0.55	0.65	aero	22	84	0.34375	0.0	0	11
0.55	0.65	aero	23	76	0.40625	0.0	0	13
0.55	0.65	aero	24	76	0.40625	0.0	0	13
0.55	0.65	aero	25	84	0.34375	0.0	0	11
0.55	0.65	aero	26	72	0.4375	0.0	0	14
0.55	0.65	aero	27	68	0.46875	0.0	0	15
0.55	0.65	aero	28	76	0.40625	0.0	0	13
0.55	0.65	aero	29	72	0.4375	0.0	0	14
0.55	0.65	aero	30	76	0.40625	0.0	0	13
0.55	0.65	aero	31	76	0.40625	0.0	0	13
0.55	0.65	aero	32	80	0.375	0.0	0	12
